# section|path|title|description
writing|/writing/structured-to-innovate.html|DARPA, Skunk Works, & Bell Labs: Structured to Innovate|An attempt to summarize the common ethos and project management approach of The Defense Advanced Research Projects Agency (DARPA), Lockheed Martin's Skunk Works, and AT&T's Bell Labs. And to create some basic guidance teams and organizations might adopt to follow in these organizations' footsteps.
writing|/writing/systems-engineering-nasa.html|Systems Engineering at NASA|This study attempts to summarize how NASA's System Engineers operate in order to better understand how to manage complex technical projects.
writing|/writing/systems-engineering-vfx.html|Systems Engineering for Visual Effects|This paper describes Systems Engineering, as practiced by NASA, and explores the application of its principles and techniques to the operation of visual effects (VFX) studios. It discusses challenges in VFX projects, like complexity management and technical/artistic integration, and proposes that VFX studios could improve their engineering and operations by adopting the perspective and methods of Systems Engineering.
notes|/notes/books.html|Recommended Books|
notes|/notes/papers.html|Recommended Papers|
notes|/notes/managing.html|Notes on Managing|
notes|/notes/growth_thoughts.html|Thoughts on Growing a Company|
notes|/notes/the-thinning-of-understanding.html|The Thinning of Understanding|
notes|/notes/black-ivy-style.html|Black Ivy Style Guide|
notes|/notes/free_fonts.html|My Favorite Free Fonts|
notes|/notes/macos_window_management.html|Built-In macOS Window Management Tools|
notes|/notes/worth_the_money.html|Worth The Money|
notes|/notes/software_love.html|Software I Love|
notes|/notes/harrison_ford_movies.html|Harrison Ford Movies|
notes|/notes/2007_movies.html|A Partial List of Movies Released in 2007|
notes|/notes/revelation_complex.html|The Revelation of the Complex|
notes|/notes/perfection.html|Perfection|
notes|/notes/writing_in_plain_text.html|Writing In Plain-Text|
emacs|/emacs/quick-help.html|Quick Help: Emacs as a Text Productivity Platform|
emacs|/emacs/buffer-confirm-kill.html|Confirm Killing Modified Buffers|
emacs|/emacs/custom-scratch-buffers.html|Custom Scratch Buffers|
emacs|/emacs/keymap-prompt.html|Keymap Prompts|
emacs|/emacs/mark-line-transient-command.html|Mark Line & Marking Transient Command|
emacs|/emacs/kill-buffer-dwim.html|Kill Buffer DWIM|
emacs|/emacs/mouse-window-splits.html|Splitting Windows With the Mouse|
emacs|/emacs/bosskey-mode.html|Emacs Keybindings That Won't Get Overridden by Minor Modes|
emacs|/emacs/notes-on-package-el.html|How Package.el Works with Use Package|
emacs|/emacs/extending-emacs-bookmarks.html|Extending Emacs Bookmarks to Work With EWW|
links|/links.html|Link Archive|
